Treatment,gcps,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,X Error,Y Error,Vert_Error,Horz Error
4 GCPs,4,FALSE,NA,1027,CP,0.01,0.01,4,1.33,0.0101,0.00999,0.00328,0.00879,0.00344,0.009382031
4 GCPs,4,FALSE,NA,1028,CP,0.01,0.01,3,2.28,0.02303,0.07418,0.01714,-0.00775,0.07175,0.018810691
4 GCPs,4,FALSE,NA,1019,CP,0.01,0.01,4,1.48,0.01487,0.00913,0.0004,0.00855,0.00317,0.008559352
4 GCPs,4,FALSE,NA,1013,CP,0.01,0.01,3,1.86,0.0191,0.05058,-0.00985,0.00803,0.04895,0.012708399
4 GCPs,4,FALSE,NA,1017,CP,0.01,0.01,4,2.1,0.01692,0.0342,-0.01376,0.00931,-0.0299,0.01661366
4 GCPs,4,FALSE,NA,1007,CP,0.01,0.01,4,2.33,0.02188,0.06123,-0.01193,0.01132,-0.05898,0.01644589
5 GCPs,5,FALSE,NA,1018,GCP,0.01,0.01,4,0.67,0.00952,0.00969,0.0023,0.00277,-0.009,0.003600403
5 GCPs,5,FALSE,NA,1003,GCP,0.01,0.01,4,0.86,0.0087,0.01716,0.0016,-0.00332,0.01676,0.003685431
5 GCPs,5,FALSE,NA,1029,GCP,0.01,0.01,3,0.69,0.00758,0.01523,-0.0048,0.00013,-0.01446,0.00480176
5 GCPs,5,FALSE,NA,1030,GCP,0.01,0.01,4,0.83,0.01058,0.02358,0.00551,-0.0036,0.02264,0.006581801
5 GCPs,5,FALSE,NA,1007,GCP,0.01,0.01,4,1,0.01008,0.01708,-0.00461,0.00403,-0.01595,0.006123153
5 GCPs,5,FALSE,NA,1001,CP,0.01,0.01,4,1.68,0.01578,0.01812,0.00867,-0.0085,0.01346,0.012141619
5 GCPs,5,FALSE,NA,1002,CP,0.01,0.01,4,1.91,0.01673,0.01972,0.01227,0.00692,0.01379,0.014086848
5 GCPs,5,FALSE,NA,1004,CP,0.01,0.01,4,1.15,0.01537,0.01068,-0.00273,0.00049,0.01031,0.002773626
5 GCPs,5,FALSE,NA,1005,CP,0.01,0.01,4,1.11,0.01176,0.0363,0.00183,0.00398,-0.03604,0.036259095
5 GCPs,5,FALSE,NA,1006,CP,0.01,0.01,4,1.95,0.02524,0.047,-0.00556,0.00118,0.04666,0.005683837
5 GCPs,5,FALSE,NA,1008,CP,0.01,0.01,4,1.34,0.01968,0.0125,-0.00126,0.00981,-0.00764,0.009890586
5 GCPs,5,FALSE,NA,1009,CP,0.01,0.01,4,1.19,0.01194,0.0091,-0.00781,0.00365,-0.0029,0.008620824
5 GCPs,5,FALSE,NA,1010,CP,0.01,0.01,4,1.21,0.01203,0.01676,0.00656,0.00315,-0.0151,0.007277094
5 GCPs,5,FALSE,NA,1012,CP,0.01,0.01,3,1.98,0.01679,0.03477,0.01412,0.0016,0.03174,0.014210362
5 GCPs,5,FALSE,NA,1014,CP,0.01,0.01,4,0.57,0.01263,0.01624,0.00598,0.00262,-0.01487,0.006528767
5 GCPs,5,FALSE,NA,1015,CP,0.01,0.01,4,1.38,0.01982,0.0221,0.00352,0.00245,0.02169,0.004288694
5 GCPs,5,FALSE,NA,1016,CP,0.01,0.01,4,1.71,0.01713,0.05068,-0.01102,0.01449,-0.0473,0.018204409
5 GCPs,5,FALSE,NA,1020,CP,0.01,0.01,3,1.26,0.01017,0.00913,0.00753,-0.00368,0.00364,0.008381128
5 GCPs,5,FALSE,NA,1021,CP,0.01,0.01,4,2.21,0.02162,0.02946,0.01296,0.00471,0.02604,0.013789333
5 GCPs,5,FALSE,NA,1022,CP,0.01,0.01,4,2.17,0.02057,0.02047,0.01037,0.01181,-0.01311,0.015716647
5 GCPs,5,FALSE,NA,1023,CP,0.01,0.01,4,1.93,0.01829,0.02039,0.00805,0.01122,0.01501,0.013809088
5 GCPs,5,FALSE,NA,1024,CP,0.01,0.01,4,2.57,0.02296,0.03041,-0.022,0.00455,0.02049,0.022465585
5 GCPs,5,FALSE,NA,1025,CP,0.01,0.01,4,2.33,0.02817,0.03041,-0.0089,0.002,0.02901,0.009121952
5 GCPs,5,FALSE,NA,1026,CP,0.01,0.01,4,0.79,0.01152,0.01364,0.00616,-0.00193,0.01201,0.006455269
5 GCPs,5,FALSE,NA,1027,CP,0.01,0.01,4,1.26,0.00979,0.00956,0.00328,0.00889,-0.00129,0.009475785
5 GCPs,5,FALSE,NA,1028,CP,0.01,0.01,3,1.95,0.01937,0.06062,0.01584,-0.00683,0.05812,0.017249768
5 GCPs,5,FALSE,NA,1019,CP,0.01,0.01,4,1.42,0.01405,0.0087,0.00181,0.00801,0.00287,0.008211955
5 GCPs,5,FALSE,NA,1013,CP,0.01,0.01,3,1.72,0.01767,0.04455,-0.00785,0.0075,0.04321,0.01085691
5 GCPs,5,FALSE,NA,1017,CP,0.01,0.01,4,1.42,0.01113,0.01425,-0.00944,0.00703,-0.00803,0.011770068
6 GCPs,6,FALSE,NA,1018,GCP,0.01,0.01,4,0.57,0.00893,0.00862,0.00154,0.00135,-0.00837,0.00204795
6 GCPs,6,FALSE,NA,1003,GCP,0.01,0.01,4,0.92,0.00898,0.017,0.00181,-0.00414,0.01639,0.004518374
6 GCPs,6,FALSE,NA,1029,GCP,0.01,0.01,3,0.78,0.00802,0.01569,-0.00539,-0.00223,-0.01456,0.005833095
6 GCPs,6,FALSE,NA,1030,GCP,0.01,0.01,4,0.89,0.01029,0.02301,0.00423,-0.00519,0.02201,0.006695446
